postal_code,attendance,lat,lon
T3R0E4,104,51.152781,-114.26958
T3E7H4,104,51.026364,-114.132132
T2T2G8,104,51.021518,-114.106465
T2P5C5,104,51.04474783,-114.0704771
T3E6P3,104,51.01827725,-114.1545439
T2T6J3,103,51.020182,-114.116557
T3H5S6,103,51.073302,-114.206135
T2N4Y6,103,51.064404,-114.097055
T1Y3B5,103,51.0851075,-113.949465
T3H3S1,102,51.04953,-114.193212
T2N2Z3,102,51.059491,-114.139677
T2L0R3,102,51.08759,-114.10121
T2W1T6,102,50.94009453,-114.0788386
T3H3J3,102,51.064321,-114.180424
T2L0G3,102,51.094095,-114.131203
T2A3S1,102,51.046886,-113.9532
T2X0E1,101,51.152503,-114.117231
T3E6V9,101,51.020756,-114.131927
T2Z3M1,100,50.919155,-113.967824
T2L1A5,100,51.093895,-114.114771
T2N0W9,100,51.058197,-114.110425
T3K5Y2,100,51.162272,-114.074792
T3P1B7,100,51.16261,-114.114084
T2W5G1,100,50.9573935,-114.1383015
T3E4L6,100,51.023997,-114.155147
T3E7S6,100,51.00423575,-114.1207997
T3G4T7,100,51.138846,-114.198524
T2E3L6,100,51.091454,-114.053838
T3C3L2,100,51.052456,-114.157846
T2Z1E9,100,50.902886,-113.990441
T2S1V6,99,51.02306,-114.070085
T3E1A3,99,51.022362,-114.135652
T2N1C4,99,51.05983,-114.096988
T2S2M4,99,51.024762,-114.080097
T2T6C9,99,51.013475,-114.111338
T2T6B1,98,51.015546,-114.111843
T2W3T3,98,50.939375,-114.12168
T3G4H6,98,51.146741,-114.169511
T2N0P3,98,51.056315,-114.115338
T2G0N6,98,51.0354545,-114.0174915
T2P0M5,98,51.044446,-114.069241
T2E5P6,98,51.069507,-114.046705
T3G5R5,98,51.146702,-114.225491
T2Z1G4,97,50.902297,-113.98726
T3K5X7,97,51.168123,-114.051584
T2J5N5,97,50.917694,-114.011531
T3G4L5,97,51.136923,-114.205942
T3H5N8,97,51.066467,-114.197491
T2K5L2,96,51.106884,-114.078746
T2Z4X8,96,50.910587,-113.933243
T2N3N4,96,51.052028,-114.11046
T3B4H4,96,51.112475,-114.208536
T2Y4T3,96,50.909126,-114.107357
T2H2B5,96,51.0002838,-114.0485119
T2T2S7,96,51.011454,-114.107845
T2T5L1,96,51.015236,-114.112141
T2Z2T4,96,50.937679,-113.977025
T3A6E1,96,51.1499635,-114.1297815
T3K4Y4,96,51.146334,-114.078023
T2E4K4,96,51.056172,-114.040359
T2N3C7,96,51.056931,-114.075823
T2M1S4,96,51.073303,-114.067643
T3H1H1,95,51.050188,-114.175663
T2C2E8,95,50.985167,-114.012896
T3C1Y2,95,51.05416,-114.147835
T1Y3N8,95,51.082755,-113.952979
T3B2P7,94,51.09206,-114.206627
T2T1S8,94,51.025837,-114.1033045
T3B4L3,94,51.110492,-114.194561
T3B4A1,94,51.1130875,-114.189574
T2Z4S2,94,50.914611,-113.938325
T3H1A6,94,51.057704,-114.180146
T2T4V8,93,51.017161,-114.105073
T3G4S5,93,51.143783,-114.194218
T2J2N8,93,50.945896,-114.040679
T2P0R4,92,51.044453,-114.069241
T2W4C6,92,50.950001,-114.12231
T2E0P4,92,51.060646,-114.059937
T2M2Y9,92,51.0656475,-114.07153
T2E4P5,92,51.052411,-114.033845
T2J5J1,92,50.936624,-114.064552
T3B0C4,91,50.913801,-114.092955
T2E5R5,91,51.091872,-114.05715
T3B2B9,91,51.083591,-114.169277
T2J5Y7,91,50.927644,-114.023711
T2J4B9,91,50.9352295,-114.0536565
T3G4A5,91,51.141721,-114.170271
T3G4T9,91,51.140383,-114.218804
T2E7L4,90,51.05666966,-114.018431
T3B3X1,90,51.110489,-114.191809
T3E4X1,90,51.016796,-114.148526
T2G3P8,90,51.034929,-114.022139
T2K1X5,90,51.087935,-114.090872
T3L1Y8,90,51.12079,-114.22519
T2J0S1,90,50.964209,-114.058673
T2X2H7,90,50.903117,-114.038908
T2A1N7,90,51.040846,-113.967163
T2T6K6,90,51.01926098,-114.1108503
T2G5K5,89,51.041184,-114.022487
T2C1H6,89,50.981598,-114.005453
T2V3L2,88,50.965608,-114.092956
T3L2C1,88,51.128791,-114.247827
T1Y4Y7,88,51.086499,-113.937018
T2N3H3,88,51.050225,-114.098169
T2N2W9,88,51.059739,-114.132158
T2E1V9,88,51.073313,-114.05617
T3G1M9,88,51.12148283,-114.1964711
T2Z3G1,88,50.953015,-114.013167
T2M0R5,88,51.06785,-114.095689
T2M0M8,88,51.06788,-114.067639
T2T3M5,88,51.020866,-114.089542
T2Z3J8,88,50.929054,-113.983492
T3E2Y4,88,51.029926,-114.138323
T2E0K9,88,51.057213,-114.057325
T3E1J7,87,51.00784891,-114.1064653
T3L2W5,87,51.137758,-114.249711
T3A2J3,87,51.115262,-114.145099
T2E2G9,87,51.081508,-114.057326
T2E5B5,87,51.057994,-114.042915
T2J4M3,86,50.921193,-114.02908
T2C4K8,86,50.965476,-114.014753
T2X1C9,86,50.918293,-114.05742
T2N1Z3,85,51.055423,-114.0929165
